Riv,Reg,RepID,Hg_µmolperkg,Cd_µmolperkg,Pb_µmolperkg,Cr_µmolperkg,Co_µmolperkg,Ni_µmolperkg,Cu_µmolperkg,Zn_µmolperkg,As_µmolperkg,Cd_µM,Pb_µM,Cr_µM,Co_µM,Ni_µM,Cu_µM,Zn_µM,As_µM,Clay,OM,pH,TEMP,COND,OXY,Hardness
dom,Maas,dom1,0.5811353,12.53049834,44.56230626,53.80564496,25.05476464,56.35547269,37.45270199,816.6700051,229.1748431,0.008291077,0.012355212,0.012847142,0.046306823,0.00085189,0.040175621,1.101254206,0.088374266,0,0.45,7.6,14,700,7.11,153.0463719
dom,Maas,dom2,0.342951734,12.67673162,42.04682722,53.48853976,22.67903651,55.50619611,57.45328179,998.4604994,351.0861687,0.009002758,0.011549228,0.013039465,0.043388254,0.00085189,0.047131212,1.223615785,0.083622531,0,0.45,7.6,14,700,7.11,158.3085475
dom,Maas,dom3,0.294247802,17.19605645,52.53308706,47.67622503,21.866738,48.68902565,32.97331719,1310.597768,291.5575312,0.006574148,0.011534749,0.011423956,0.04225137,0.00085189,0.029553394,1.070663812,0.084623599,0,0.45,7.6,14,700,7.11,159.9552947
dom,Maas,dom4,0.520981145,20.49689294,241.3247499,67.47317884,33.43864155,99.53911567,1208.654761,4572.803503,791.1565818,0.006520772,0.010868726,0.010943149,0.045136002,0.00085189,0.032968243,1.177730193,0.084169781,0,0.45,7.6,14,700,7.11,170.2048187
dom,Maas,dom5,0.487332866,14.95748165,59.44506054,52.07686279,19.49011029,55.96131984,41.7653952,913.024486,274.6561393,0.006476292,0.011100386,0.010981614,0.045831707,0.00085189,0.031001165,1.162434995,0.082314469,0,0.45,7.6,14,700,7.11,172.542405
erk,Maas,erk1,0.173448911,4.952173949,60.16176895,58.02318607,11.63866997,30.82463137,111.4575423,1707.448652,15.52390245,0.0004448,0.008581081,0.003750288,0.000848421,0.00085189,0.033487552,0.275313552,0.018419648,0,1.14,8.08,13.8,556,8.15,129.7022408
erk,Maas,erk2,0.12341057,4.624619258,60.35805372,49.41844262,10.75333194,27.07761171,57.73266716,1138.317685,13.15064154,0.0004448,0.005415058,0.000961612,0.000848421,0.00085189,0.02382526,0.198837565,0.018072611,0,1.14,8.08,13.8,556,8.15,137.1403997
erk,Maas,erk3,0.098978377,3.002573024,33.41750872,43.72050367,10.35943752,26.04677879,47.56841577,1023.678168,11.32890553,0.0004448,0.02355695,0.000961612,0.000848421,0.00085189,0.04957039,0.305903946,0.02209023,0,1.14,8.08,13.8,556,8.15,132.4830951
erk,Maas,erk4,0.173881032,23.09384372,90.46747879,54.90958154,14.79595311,30.81653206,85.46764288,1924.102974,15.09703061,0.0004448,0.005202703,0.000961612,0.000848421,0.00085189,0.025839549,0.152951973,0.018820075,0,1.14,8.08,13.8,556,8.15,84.49584547
erk,Maas,erk5,0.122823755,6.487515547,68.20418755,56.00659757,9.698868782,26.78095247,66.76311277,1348.377024,11.70695308,0.0004448,0.005699807,0.000961612,0.000848421,0.00085189,0.029097032,0.22942796,0.017578751,0,1.14,8.08,13.8,556,8.15,154.3264354
gel,SW,gel1,1.313419244,6.765864051,225.8026069,762.2345199,172.830423,346.0579558,1060.42541,5450.600983,96.73787415,0.0004448,0.007673745,0.008519886,0.0058032,0.059496022,0.057580336,0.152951973,0.033142018,3.08,10.77,7.42,17.1,983,3.22,299.3543005
gel,SW,gel2,1.645878865,11.30959628,390.3763328,853.481971,251.0898323,396.7708455,1255.968385,6414.803038,107.4698462,0.0004448,0.006114865,0.006808216,0.00473419,0.047654746,0.038476065,0.107066381,0.029978644,3.08,10.77,7.42,17.1,983,3.22,280.9982724
gel,SW,gel3,1.540511313,8.557262255,302.4106643,896.7189293,206.8618403,398.601802,1309.817334,6564.112613,103.5128592,0.0004448,0.006138996,0.006692823,0.004038484,0.039681052,0.03915274,0.107066381,0.029364656,3.08,10.77,7.42,17.1,983,3.22,261.3569037
